P_hotspot,prediction,true_label
1.6058655519480107e-09,0,0.0
3.9384606717711055e-13,0,0.0
5.087009862722512e-17,0,0.0
1.4221241962922327e-09,0,0.0
3.001181233245884e-10,0,0.0
8.419826904413437e-09,0,0.0
2.319464915835186e-14,0,0.0
8.048961180983778e-15,0,0.0
9.69162535618199e-14,0,0.0
1.1179653798184382e-10,0,0.0
1.2489816763945962e-08,0,0.0
1.3988880783749936e-16,0,0.0
1.007403195738899e-14,0,0.0
3.5501074309780026e-17,0,0.0
4.349479751539558e-10,0,0.0
5.994100750162306e-19,0,0.0
2.227435795959483e-19,0,0.0
4.6971052645424947e-14,0,0.0
1.9403738777939687e-15,0,0.0
6.730266831810812e-10,0,0.0
1.0072627686953912e-20,0,0.0
3.780150927382789e-14,0,0.0
6.66221724020483e-12,0,0.0
4.156869231405818e-15,0,0.0
2.8187430261648402e-12,0,0.0
8.409930591764783e-13,0,0.0
1.815692588213291e-11,0,0.0
1.6608383076433478e-16,0,0.0
6.750312613929993e-12,0,0.0
6.320283901266963e-11,0,0.0
9.054903494108189e-08,0,0.0
2.2585997982588024e-16,0,0.0
2.7997110006764852e-14,0,0.0
4.2456542091165034e-13,0,0.0
3.740317161763882e-10,0,0.0
1.9007734351659027e-15,0,0.0
4.484120284928452e-15,0,0.0
7.80789664758162e-19,0,0.0
1.0150261991711982e-10,0,0.0
5.941130294389536e-14,0,0.0
4.3614401692135937e-14,0,0.0
2.5613165675802865e-15,0,0.0
1.5327084880476403e-14,0,0.0
1.161019132997707e-08,0,0.0
6.348108058318828e-16,0,0.0
1.0852242047421486e-11,0,0.0
3.269018074414556e-15,0,0.0
2.716705574387103e-10,0,0.0
4.117525831065594e-12,0,0.0
0.00027989372686140773,0,0.0
5.2427381293934535e-15,0,0.0
6.32788069965574e-12,0,0.0
2.1146323963501025e-13,0,0.0
4.047197549060396e-12,0,0.0
3.823101658460372e-18,0,0.0
9.740107616953998e-11,0,0.0
9.773903480480366e-14,0,0.0
3.0280149632594687e-09,0,0.0
5.97964629009992e-06,0,0.0
1.6914079087279215e-11,0,0.0
9.647883464999468e-10,0,0.0
4.4493026016296465e-15,0,0.0
2.2070159099232623e-09,0,0.0
1.7174437393894052e-15,0,0.0
9.393693700502084e-17,0,0.0
5.503823192858102e-17,0,0.0
3.043178592832733e-11,0,0.0
6.300604698026404e-17,0,0.0
1.1016557345472392e-13,0,0.0
4.3433659650096195e-15,0,0.0
6.392677536215438e-09,0,0.0
7.402726691277227e-09,0,0.0
2.8018045601805157e-18,0,0.0
9.702897851817253e-12,0,0.0
3.478303099052626e-20,0,0.0
4.934355965724695e-10,0,0.0
1.8185635766496905e-12,0,0.0
4.359121129357403e-16,0,0.0
1.6676586456324966e-08,0,0.0
3.188902195889026e-12,0,0.0
7.11690034266673e-08,0,0.0
9.387905150362441e-16,0,0.0
1.8511808170146575e-10,0,0.0
7.767572349989242e-14,0,0.0
2.8324518147275334e-17,0,0.0
5.02627579819813e-12,0,0.0
3.4283352367427987e-17,0,0.0
9.770851801367592e-12,0,0.0
5.602457599608109e-14,0,0.0
1.7318555626244373e-16,0,0.0
8.446557231815626e-10,0,0.0
7.148870971050966e-10,0,0.0
3.109799440012037e-13,0,0.0
3.544123420196778e-11,0,0.0
7.953994988791881e-16,0,0.0
4.060226435557513e-11,0,0.0
1.1329023794800517e-11,0,0.0
2.0190114133321625e-14,0,0.0
2.964172160453542e-15,0,0.0
3.0074517788672474e-08,0,0.0
1.899115464335453e-23,0,0.0
4.1958950206796127e-16,0,0.0
1.5285442037390936e-08,0,0.0
2.997414344871392e-17,0,0.0
3.4521349353171348e-09,0,0.0
2.599329837843396e-21,0,0.0
8.253027809786038e-14,0,0.0
1.9709173929780546e-10,0,0.0
5.695709378940516e-12,0,0.0
1.1910798235173033e-12,0,0.0
2.317104924082928e-16,0,0.0
1.9853258513158723e-14,0,0.0
1.7569732635592398e-13,0,0.0
6.323505292365301e-14,0,0.0
4.60932141702143e-17,0,0.0
2.026775377993498e-14,0,0.0
2.4659535436491494e-08,0,0.0
9.181629956856908e-19,0,0.0
1.147945154871957e-18,0,0.0
